No,Src,Gender,Age
1,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/1_(60-100).jpg?raw=true,Male,(60-100)
2,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/2_(60-100).jpg?raw=true,Male,(60-100)
3,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/3_(60-100).jpg?raw=true,Male,(60-100)
4,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/4_(60-100).jpg?raw=true,Female,(60-100)
5,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/5_(60-100).jpg?raw=true,Male,(60-100)
6,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/6_(60-100).jpg?raw=true,Female,(60-100)
7,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/7_(60-100).jpg?raw=true,Female,(60-100)
8,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/8_(60-100).jpg?raw=true,Male,(60-100)
9,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/9_(60-100).jpg?raw=true,Female,(60-100)
10,https://github.com/husson61050280/Age_Gender_Prediction/blob/master/10_(60-100).jpg?raw=true,Male,(60-100)
